year,state_abbr,state_name,acres_cropland_idled,acres_cropland_used_for_crops,acres_cropland_used_for_pasture,acres_defense_industrial,acres_farmsteads_roads_misc_farmland,acres_forest_use_land,acres_grassland_pasture_range,acres_grazed_forest_use_land,acres_miscellaneous_other_land,acres_rural_parks_wildlife,acres_rural_transportation,acres_special_uses_land,acres_total_cropland,acres_total_land,acres_ungrazed_forest_use_land,acres_urban_areas,blocks_250k_cropland_idled,blocks_250k_cropland_used_for_crops,blocks_250k_cropland_used_for_pasture,blocks_250k_defense_industrial,blocks_250k_farmsteads_roads_misc_farmland,blocks_250k_forest_use_land,blocks_250k_grassland_pasture_range,blocks_250k_grazed_forest_use_land,blocks_250k_miscellaneous_other_land,blocks_250k_rural_parks_wildlife,blocks_250k_rural_transportation,blocks_250k_special_uses_land,blocks_250k_total_cropland,blocks_250k_total_land,blocks_250k_ungrazed_forest_use_land,blocks_250k_urban_areas,share_of_total_land_total_cropland,share_of_total_land_cropland_used_for_crops,share_of_total_land_cropland_used_for_pasture,share_of_total_land_cropland_idled,share_of_total_land_grassland_pasture_range,share_of_total_land_forest_use_land,share_of_total_land_grazed_forest_use_land,share_of_total_land_ungrazed_forest_use_land,share_of_total_land_special_uses_land,share_of_total_land_rural_transportation,share_of_total_land_rural_parks_wildlife,share_of_total_land_defense_industrial,share_of_total_land_farmsteads_roads_misc_farmland,share_of_total_land_urban_areas,share_of_total_land_miscellaneous_other_land
2012,MN,Minnesota,1887000.0,20394000.0,171000.0,3000.0,377000.0,15929000.0,3568000.0,870000.0,2955000.0,3298000.0,1262000.0,4941000.0,22452000.0,50961000.0,15059000.0,1116000.0,7.548,81.576,0.684,0.012,1.508,63.716,14.272,3.48,11.82,13.192,5.048,19.764,89.808,203.844,60.236,4.464,0.4405722022723259,0.4001883793489139,0.003355507152528404,0.03702831577088362,0.07001432467965699,0.31257235925511667,0.01707187849531995,0.2955004807597967,0.0969564961441102,0.024764035242636526,0.06471615549145425,5.8868546535586034e-05,0.007397814014638645,0.021899099311238006,0.05798551833755224
2012,MO,Missouri,1591000.0,13455000.0,580000.0,82000.0,470000.0,15085000.0,9792000.0,3419000.0,81000.0,759000.0,755000.0,2066000.0,15627000.0,43995000.0,11666000.0,1345000.0,6.364,53.82,2.32,0.328,1.88,60.34,39.168,13.676,0.324,3.036,3.02,8.264,62.508,175.98,46.664,5.38,0.355199454483464,0.30583020797817934,0.013183316285941585,0.03616320036367769,0.2225707466757586,0.3428798727128083,0.0777133765200591,0.2651664961927492,0.04695988180475054,0.017161041027389475,0.017251960450051142,0.001863848164564155,0.010683032162745767,0.030571655869985226,0.0018411183088987385
2012,MS,Mississippi,638000.0,4372000.0,163000.0,168000.0,128000.0,19495000.0,2715000.0,504000.0,884000.0,315000.0,422000.0,1033000.0,5174000.0,30031000.0,18991000.0,730000.0,2.552,17.488,0.652,0.672,0.512,77.98,10.86,2.016,3.536,1.26,1.688,4.132,20.696,120.124,75.964,2.92,0.172288635077087,0.14558289767240518,0.005427724684492691,0.021244713795744396,0.09040657986747028,0.6491625320502148,0.01678265792014918,0.6323798741300656,0.03439778895141687,0.014052146115680463,0.010489161200093237,0.005594219306716393,0.004262262328926776,0.024308214844660517,0.029436249209150545
2012,MT,Montana,3181000.0,12522000.0,902000.0,30000.0,116000.0,18429000.0,47629000.0,8305000.0,3231000.0,6065000.0,850000.0,7061000.0,16605000.0,93149000.0,10124000.0,195000.0,12.724,50.088,3.608,0.12,0.464,73.716,190.516,33.22,12.924,24.26,3.4,28.244,66.42,372.596,40.496,0.78,0.17826278328269762,0.13442978453874974,0.009683410449924315,0.03414958829402356,0.5113205724162364,0.19784431394861995,0.08915823036210802,0.10868608358651194,0.07580328291232327,0.00912516505813267,0.06511073656185251,0.0003220646491105648,0.0012453166432275173,0.0020934202192186713,0.03468636270920783
2012,NC,North Carolina,294000.0,4085000.0,95000.0,454000.0,151000.0,18078000.0,1579000.0,270000.0,1141000.0,1575000.0,578000.0,2759000.0,4473000.0,31116000.0,17808000.0,3086000.0,1.176,16.34,0.38,1.816,0.604,72.312,6.316,1.08,4.564,6.3,2.312,11.036,17.892,124.464,71.232,12.344,0.1437524103355187,0.13128294125208895,0.0030530916570253247,0.009448515233320479,0.0507455971204525,0.5809872734284612,0.008677207867335134,0.5723100655611261,0.08866820928139864,0.018575652397480397,0.05061704589278827,0.014590564339889447,0.004852808844324463,0.09917727214294897,0.03666923769121995
2012,ND,North Dakota,2718000.0,24081000.0,322000.0,13000.0,205000.0,517000.0,13336000.0,229000.0,1368000.0,552000.0,927000.0,1697000.0,27120000.0,44161000.0,288000.0,123000.0,10.872,96.324,1.288,0.052,0.82,2.068,53.344,0.916,5.472,2.208,3.708,6.788,108.48,176.644,1.152,0.492,0.6141165281583297,0.5453001517175788,0.007291501551142411,0.06154751930436358,0.30198591517402235,0.011707162428387038,0.0051855709789180495,0.006521591449468988,0.03842757183940581,0.020991372477978307,0.012499716944815562,0.00029437739181630853,0.004642105024795634,0.0027852630148773806,0.030977559384977694
2012,NE,Nebraska,1090000.0,20442000.0,326000.0,9000.0,252000.0,1470000.0,23677000.0,748000.0,258000.0,394000.0,907000.0,1562000.0,21857000.0,49167000.0,722000.0,344000.0,4.36,81.768,1.304,0.036,1.008,5.88,94.708,2.992,1.032,1.576,3.628,6.248,87.428,196.668,2.888,1.376,0.4445461386702463,0.4157666727683202,0.006630463522281205,0.022169341224805256,0.481562836862123,0.029898102385746538,0.015213456179958102,0.014684646205788436,0.03176927614050074,0.018447332560457216,0.008013504993186487,0.00018304960644334616,0.005125388980413692,0.0069965627351678975,0.0052474220513759225
2012,NH,New Hampshire,18000.0,73000.0,2000.0,3000.0,17000.0,4341000.0,116000.0,12000.0,151000.0,499000.0,86000.0,605000.0,93000.0,5730000.0,4329000.0,423000.0,0.072,0.292,0.008,0.012,0.068,17.364,0.464,0.048,0.604,1.996,0.344,2.42,0.372,22.92,17.316,1.692,0.016230366492146597,0.01273996509598604,0.00034904013961605586,0.0031413612565445027,0.02024432809773124,0.7575916230366492,0.0020942408376963353,0.7554973821989529,0.1055846422338569,0.0150087260034904,0.08708551483420593,0.0005235602094240838,0.002966841186736475,0.07382198952879582,0.026352530541012217
2012,NJ,New Jersey,29000.0,403000.0,16000.0,71000.0,30000.0,1116000.0,78000.0,11000.0,85000.0,945000.0,46000.0,1093000.0,449000.0,4707000.0,1105000.0,1885000.0,0.116,1.612,0.064,0.284,0.12,4.464,0.312,0.044,0.34,3.78,0.184,4.372,1.796,18.828,4.42,7.54,0.09538984491183344,0.08561716592309326,0.0033991926917357126,0.00616103675377098,0.0165710643722116,0.23709369024856597,0.0023369449755683024,0.23475674527299767,0.23220735075419588,0.009772678988740175,0.20076481835564053,0.015083917569577226,0.006373486297004461,0.40046738899511364,0.018058211174845976
2012,NM,New Mexico,534000.0,1183000.0,231000.0,3531000.0,75000.0,13278000.0,54344000.0,11914000.0,741000.0,2720000.0,456000.0,6782000.0,1948000.0,77631000.0,1364000.0,539000.0,2.136,4.732,0.924,14.124,0.3,53.112,217.376,47.656,2.964,10.88,1.824,27.128,7.792,310.524,5.456,2.156,0.02509306849068027,0.015238757712769384,0.0029756154113691697,0.006878695366541717,0.7000296273395937,0.17103991961973955,0.15346961909546444,0.017570300524275096,0.08736200744547926,0.005873942110754724,0.03503754943257204,0.045484407002357306,0.0009661088997951849,0.0069431026265280625,0.009545155929976427
