year,cumulative_through_year,state_fips,state_abbr,state_name,total_property_record_count,rasterized_state_area_km2,state_land_area_km2,counts_dominant_code,counts_dominant_label,counts_dominant_slug,counts_dominant_record_count,counts_dominant_record_share,counts_dominant_occupied_cell_count,counts_dominant_occupied_area_km2,record_count_agriculture,record_count_commercial,record_count_governmental,record_count_industrial,record_count_recreational,record_count_residential_income,record_count_residential_owned,record_count_vacant_land,record_share_agriculture,record_share_commercial,record_share_governmental,record_share_industrial,record_share_recreational,record_share_residential_income,record_share_residential_owned,record_share_vacant_land,occupied_cells_agriculture,occupied_cells_commercial,occupied_cells_governmental,occupied_cells_industrial,occupied_cells_recreational,occupied_cells_residential_income,occupied_cells_residential_owned,occupied_cells_vacant_land,occupied_area_km2_agriculture,occupied_area_km2_commercial,occupied_area_km2_governmental,occupied_area_km2_industrial,occupied_area_km2_recreational,occupied_area_km2_residential_income,occupied_area_km2_residential_owned,occupied_area_km2_vacant_land,records_per_occupied_cell_agriculture,records_per_occupied_cell_commercial,records_per_occupied_cell_governmental,records_per_occupied_cell_industrial,records_per_occupied_cell_recreational,records_per_occupied_cell_residential_income,records_per_occupied_cell_residential_owned,records_per_occupied_cell_vacant_land
1940,1944,26,MI,Michigan,1048961,150912.5625,146614.604273,RO,Residential-Owned,residential_owned,746064,0.7112409326943518,82090,5130.625,14414.0,279545.0,635.0,53.0,300.0,3937.0,746064.0,4013.0,0.013741216308327956,0.2664970384980948,0.0006053609238093695,5.052618734156942e-05,0.0002859972868390722,0.0037532377276180908,0.7112409326943518,0.0038256903736173225,6280.0,44352.0,278.0,21.0,130.0,1190.0,82090.0,1709.0,392.5,2772.0,17.375,1.3125,8.125,74.375,5130.625,106.8125,2.2952229299363056,6.302872474747475,2.2841726618705036,2.5238095238095237,2.3076923076923075,3.3084033613445376,9.088366427092216,2.34815681685196
1940,1944,27,MN,Minnesota,782387,218563.0625,206232.15757,RO,Residential-Owned,residential_owned,672131,0.8590774130960765,103219,6451.1875,25878.0,46785.0,2620.0,173.0,494.0,31149.0,672131.0,3157.0,0.03307570294496202,0.05979777271350367,0.0033487263975500617,0.0002211181934260155,0.0006314010841182177,0.03981277807530033,0.8590774130960765,0.004035087495063185,8772.0,16212.0,1375.0,76.0,253.0,4338.0,103219.0,1965.0,548.25,1013.25,85.9375,4.75,15.8125,271.125,6451.1875,122.8125,2.9500683994528045,2.8858253145817914,1.9054545454545455,2.276315789473684,1.9525691699604744,7.180497925311204,6.5116984276150705,1.606615776081425
1940,1944,28,MS,Mississippi,132813,123473.0,121532.487805,RO,Residential-Owned,residential_owned,115799,0.8718950705126757,33996,2124.75,1070.0,11996.0,138.0,92.0,104.0,2535.0,115799.0,1079.0,0.008056440258107263,0.09032248349182685,0.0010390549117932732,0.0006927032745288488,0.0007830558755543509,0.0190869869666373,0.8718950705126757,0.00812420470887639,766.0,5226.0,86.0,64.0,80.0,1063.0,33996.0,843.0,47.875,326.625,5.375,4.0,5.0,66.4375,2124.75,52.6875,1.3968668407310705,2.2954458476846535,1.6046511627906976,1.4375,1.3,2.3847601128880527,3.406253676903165,1.2799525504151839
1940,1944,29,MO,Missouri,883013,180546.4375,178052.563675,RO,Residential-Owned,residential_owned,694875,0.786936319170839,97767,6110.4375,3497.0,119722.0,1219.0,288.0,418.0,60522.0,694875.0,2472.0,0.003960304095183197,0.13558350783057554,0.0013805006268310886,0.00032615601355812427,0.00047337921412255536,0.06854032726584999,0.786936319170839,0.0027995057830405667,2101.0,25956.0,613.0,145.0,235.0,5279.0,97767.0,1849.0,131.3125,1622.25,38.3125,9.0625,14.6875,329.9375,6110.4375,115.5625,1.6644455021418372,4.612498073663122,1.9885807504078303,1.986206896551724,1.778723404255319,11.4646713392688,7.107459572248304,1.3369388858842617
1940,1944,30,MT,Montana,172027,380841.625,376973.673895,RO,Residential-Owned,residential_owned,148870,0.865387410115854,31531,1970.6875,269.0,17688.0,317.0,96.0,153.0,3783.0,148870.0,851.0,0.001563708022577851,0.10282106878571387,0.0018427339894318915,0.0005580519337080807,0.0008893952693472537,0.021990734012684057,0.865387410115854,0.00494689787068309,182.0,4708.0,196.0,63.0,87.0,1198.0,31531.0,686.0,11.375,294.25,12.25,3.9375,5.4375,74.875,1970.6875,42.875,1.478021978021978,3.7570093457943927,1.6173469387755102,1.5238095238095237,1.7586206896551724,3.157762938230384,4.721385303352257,1.2405247813411078
1940,1944,31,NE,Nebraska,475346,200337.625,198957.373531,RO,Residential-Owned,residential_owned,401804,0.845287432733209,58834,3677.125,10559.0,55775.0,962.0,104.0,368.0,4076.0,401804.0,1698.0,0.022213293053901788,0.11733558292275521,0.002023788987390238,0.00021878799863678247,0.0007741729182532302,0.008574806561956975,0.845287432733209,0.0035721348238966985,6914.0,17083.0,614.0,54.0,204.0,1200.0,58834.0,1013.0,432.125,1067.6875,38.375,3.375,12.75,75.0,3677.125,63.3125,1.527191206248192,3.264941754961072,1.5667752442996743,1.9259259259259258,1.803921568627451,3.3966666666666665,6.829452357480369,1.6762092793682133
1940,1944,32,NV,Nevada,24393,286372.5,284537.264244,RO,Residential-Owned,residential_owned,16546,0.6783093510433321,2472,154.5,26.0,4504.0,104.0,26.0,49.0,3007.0,16546.0,131.0,0.001065879555610216,0.1846431353257082,0.004263518222440864,0.001065879555610216,0.0020087730086500227,0.12327307014307383,0.6783093510433321,0.00537039314557455,17.0,1048.0,48.0,12.0,33.0,786.0,2472.0,91.0,1.0625,65.5,3.0,0.75,2.0625,49.125,154.5,5.6875,1.5294117647058822,4.297709923664122,2.1666666666666665,2.1666666666666665,1.4848484848484849,3.8256997455470736,6.69336569579288,1.4395604395604396
1940,1944,33,NH,New Hampshire,213499,24037.625,23190.113978,RO,Residential-Owned,residential_owned,153321,0.7181345111686706,26653,1665.8125,774.0,14336.0,3342.0,69.0,244.0,40435.0,153321.0,978.0,0.0036253097204202362,0.06714785549346836,0.01565346910289978,0.00032318652546381953,0.0011428624958430718,0.1893919877844861,0.7181345111686706,0.004580817708748051,478.0,3302.0,1242.0,32.0,75.0,4840.0,26653.0,882.0,29.875,206.375,77.625,2.0,4.6875,302.5,1665.8125,55.125,1.6192468619246863,4.341611144760751,2.6908212560386473,2.15625,3.2533333333333334,8.354338842975206,5.752485648895059,1.1088435374149659
1940,1944,34,NJ,New Jersey,1522342,20114.875,19048.737655,RO,Residential-Owned,residential_owned,1383024,0.908484427283751,59692,3730.75,1260.0,59185.0,11071.0,0.0,6.0,66386.0,1383024.0,1410.0,0.0008276720999617694,0.03887759780653756,0.007272347475140277,0.0,3.941295714103664e-06,0.04360780954608097,0.908484427283751,0.0009262044928143611,612.0,10138.0,3139.0,0.0,5.0,4632.0,59692.0,1054.0,38.25,633.625,196.1875,0.0,0.3125,289.5,3730.75,65.875,2.0588235294117645,5.837936476622608,3.5269194010831475,0.0,1.2,14.332037996545768,23.169335924411982,1.3377609108159392
1940,1944,35,NM,New Mexico,38309,314919.6875,314198.560935,RO,Residential-Owned,residential_owned,29509,0.770288966039312,7687,480.4375,115.0,4820.0,85.0,1.0,19.0,3128.0,29509.0,632.0,0.00300190555744081,0.12581899814664962,0.0022187997598475556,2.6103526586441827e-05,0.0004959670051423947,0.08165183116239004,0.770288966039312,0.016497428802631234,89.0,1748.0,67.0,1.0,16.0,1526.0,7687.0,550.0,5.5625,109.25,4.1875,0.0625,1.0,95.375,480.4375,34.375,1.2921348314606742,2.757437070938215,1.2686567164179106,1.0,1.1875,2.0498034076015728,3.8388187849616235,1.1490909090909092
